customer_id,age,income,purchase_history,customer_spending_score,freq_of_visit,gender,region,customer_type
1,59,29889,19524,59,75,Male,East,budget
2,43,105494,42714,66,43,Female,East,budget
3,47,107857,12129,61,23,Male,East,budget
4,31,113408,11521,74,71,Female,West,regular
5,31,95612,485,76,99,Agender,North,premium
6,53,22906,4100,15,84,Male,West,premium
7,45,104093,6942,61,2,Female,West,regular
8,28,139291,41998,91,70,Female,South,premium
9,58,142642,47504,54,94,Male,North,budget
10,61,119079,9679,72,56,Male,North,regular
11,21,106753,27380,29,14,Male,East,regular
12,69,30149,24023,32,37,Female,South,budget
13,29,52479,5571,96,92,Female,East,budget
14,52,94452,1212,80,29,Male,West,premium
15,63,125504,27984,25,75,Female,East,premium
16,48,66533,1754,89,73,Male,East,regular
17,58,57557,39670,99,11,Male,South,regular
18,57,40826,27803,87,54,Female,West,regular
19,65,90626,21086,66,97,Female,West,premium
20,65,52419,5293,13,24,Genderqueer,West,budget
21,50,45938,34735,59,35,Male,East,premium
22,32,102473,49264,28,51,Female,South,budget
23,56,133655,30800,66,73,Male,East,premium
24,45,83266,34833,91,54,Female,South,budget
25,50,101290,6904,46,74,Polygender,North,regular
26,63,49103,4198,31,100,Male,East,regular
27,64,103855,16670,50,19,Male,East,budget
28,58,134554,18432,25,43,Male,North,budget
29,41,58449,36422,42,17,Genderfluid,West,regular
30,68,126884,45028,14,2,Male,East,regular
31,30,112421,24365,67,52,Female,North,premium
32,24,118980,15129,43,78,Male,North,budget
33,51,39704,12623,42,52,Male,South,premium
34,51,130847,43989,89,67,Female,East,premium
35,46,131715,41923,29,4,Agender,East,regular
36,44,141409,45830,83,83,Male,North,regular
37,34,23256,28960,73,62,Female,West,budget
38,41,109767,7484,94,80,Genderfluid,East,premium
39,42,29121,25872,85,19,Male,East,premium
40,19,127211,25429,65,92,Female,South,regular
41,62,31450,19362,23,55,Male,North,premium
42,67,82305,17601,100,4,Male,South,premium
43,51,47920,2084,97,88,Male,North,regular
44,27,98548,40882,12,89,Male,North,budget
45,19,55277,32693,59,40,Male,West,budget
46,18,149895,353,89,90,Genderqueer,East,regular
47,58,45645,44365,11,75,Female,South,premium
48,48,81655,12248,67,40,Non-binary,East,regular
49,60,139172,32712,100,6,Female,West,regular
50,24,68450,36028,40,53,Bigender,North,premium
51,67,63283,19066,87,53,Female,East,budget
52,64,31621,20462,41,14,Female,North,premium
53,33,36974,12345,25,11,Male,West,premium
54,57,92233,438,56,91,Bigender,South,regular
55,34,27736,30060,31,47,Female,South,premium
56,48,117863,22828,64,64,Male,West,budget
57,57,33429,6879,71,43,Female,South,regular
58,31,49413,36083,77,43,Male,East,premium
59,35,131231,18900,37,38,Female,South,budget
60,54,39875,17101,69,33,Male,South,regular
61,69,37603,30520,28,57,Male,West,budget
62,21,144197,3295,4,38,Female,West,premium
63,21,34095,17979,48,38,Male,West,premium
64,18,87326,13861,82,19,Male,South,budget
65,56,132438,6338,56,100,Male,West,budget
66,68,68088,1053,79,29,Male,East,premium
67,28,66690,41912,39,63,Female,North,premium
68,52,102252,26056,9,54,Female,North,budget
69,65,134553,3334,63,9,Male,West,premium
70,35,77162,30878,87,69,Female,North,budget
71,67,66372,8395,36,40,Female,West,budget
72,51,49458,43560,78,34,Male,North,regular
73,28,44035,35437,48,86,Male,North,premium
74,64,36816,15931,57,6,Female,East,budget
75,20,101460,10954,89,70,Female,North,premium
76,47,117813,48055,44,12,Female,South,regular
77,18,53448,37816,43,40,Female,East,budget
78,38,62422,41616,1,97,Female,North,budget
79,26,83795,12627,46,32,Female,West,regular
80,68,109054,49879,8,68,Female,South,premium
81,25,143145,49518,41,67,Female,North,premium
82,54,146167,23477,39,62,Female,South,budget
83,56,77834,17037,52,44,Male,East,premium
84,21,73738,15851,18,56,Male,North,budget
85,32,133363,5722,78,44,Male,East,regular
86,32,34407,38893,99,100,Female,East,regular
87,42,126360,45089,35,80,Male,West,regular
88,70,20559,19764,75,51,Non-binary,East,regular
89,61,26761,22484,13,82,Female,West,regular
90,43,127540,29316,16,14,Female,North,regular
91,66,69664,47881,62,33,Female,West,premium
92,50,63738,36102,29,21,Male,North,premium
93,66,92815,15716,74,72,Male,South,premium
94,29,102620,9250,59,25,Female,East,budget
95,70,77149,30692,78,47,Female,West,premium
96,38,40995,46220,33,3,Non-binary,East,budget
97,30,33790,18669,45,34,Polygender,West,premium
98,65,149082,11325,66,80,Female,West,premium
99,23,73357,6979,61,69,Female,East,budget
100,49,31292,12106,28,95,Female,North,regular
101,49,130203,14275,36,56,Male,East,regular
102,25,57293,30232,74,5,Male,West,regular
103,48,75037,39826,48,31,Male,West,budget
104,33,108793,43592,13,60,Female,North,budget
105,54,113956,42028,44,82,Female,North,premium
106,26,36050,17383,97,51,Male,East,budget
107,68,54912,38010,26,90,Female,East,premium
108,35,54616,29086,74,84,Male,South,premium
109,66,73333,5555,43,14,Male,South,budget
110,18,71999,12367,27,90,Female,South,regular
111,67,63960,22554,97,26,Male,East,regular
112,57,67586,30948,74,47,Female,West,budget
113,51,140099,37736,72,10,Polygender,West,premium
114,23,67067,21589,46,45,Female,West,budget
115,59,38046,29275,46,40,Genderqueer,West,regular
116,59,133840,26445,11,95,Female,West,premium
117,60,36736,30109,98,94,Polygender,South,premium
118,38,31756,30776,40,100,Male,West,premium
119,27,108894,7981,23,31,Female,South,premium
120,35,58742,493,10,85,Male,West,premium
121,51,24698,28639,27,97,Female,West,premium
122,21,83036,9547,89,82,Agender,South,premium
123,38,50290,10314,87,95,Male,East,budget
124,57,100246,41051,48,96,Female,West,regular
125,37,73416,49989,78,74,Female,West,premium
126,21,32871,18266,76,88,Male,West,premium
127,44,113244,42426,65,91,Male,South,budget
128,57,86722,12735,80,58,Male,West,budget
129,67,149043,34210,15,70,Non-binary,West,budget
130,69,86110,41841,76,72,Female,South,budget
131,29,146275,40710,83,70,Female,East,premium
132,25,98812,13814,59,98,Female,South,budget
133,27,149591,31250,70,58,Male,South,premium
134,67,129150,3394,45,99,Male,West,premium
135,25,146113,30226,2,16,Male,West,regular
136,59,96562,40373,64,8,Genderqueer,West,premium
137,62,89411,48482,80,19,Female,East,premium
138,31,79602,31808,55,21,Male,West,regular
139,37,55162,22906,26,20,Female,South,regular
140,27,53192,49431,39,42,Female,South,budget
141,54,111280,39686,57,58,Male,South,budget
142,51,116853,40610,32,93,Female,North,budget
143,53,30417,49488,18,73,Female,West,regular
144,46,43755,25116,40,86,Male,North,premium
145,24,110189,16193,95,25,Female,East,budget
146,57,61107,26605,1,28,Male,West,regular
147,69,108921,26881,35,30,Bigender,North,regular
148,58,71034,4073,5,52,Male,West,premium
149,50,43655,30661,36,79,Female,East,regular
150,62,103765,31554,31,88,Male,North,budget
151,35,136532,29443,20,33,Female,East,premium
152,26,108667,29572,54,76,Female,South,budget
153,18,59817,10389,3,83,Male,West,budget
154,51,26264,6524,41,50,Female,West,budget
155,59,39076,7570,28,46,Female,North,premium
156,44,102774,18218,44,5,Male,West,budget
157,36,139304,36078,23,17,Male,East,budget
158,36,41705,2986,66,93,Female,South,regular
159,33,59634,34515,15,64,Female,East,budget
160,34,52056,40085,34,98,Male,North,regular
161,61,86650,28141,57,6,Female,West,regular
162,27,98208,14146,77,77,Male,East,budget
163,66,35674,30927,6,34,Female,North,premium
164,39,126499,6265,38,1,Female,West,budget
165,45,123802,35696,3,57,Male,North,regular
166,50,104027,42619,99,61,Female,North,budget
167,37,63247,2471,99,14,Female,East,premium
168,44,147216,21700,13,60,Female,North,premium
169,43,22533,1289,85,48,Male,East,budget
170,46,54764,17616,7,34,Female,South,budget
171,24,43383,5939,6,89,Female,West,premium
172,20,103040,10659,63,45,Male,South,premium
173,51,124981,38789,13,13,Male,South,budget
174,52,31109,25910,67,100,Male,East,regular
175,24,42931,39283,55,73,Male,West,budget
176,28,32011,47884,27,89,Male,East,premium
177,53,34119,8269,43,21,Male,North,budget
178,68,98620,20869,5,39,Female,North,regular
179,38,70271,40477,57,33,Male,East,budget
180,44,84545,17393,65,30,Male,West,premium
181,59,32134,27387,7,20,Male,South,premium
182,33,125122,46839,35,44,Female,East,budget
183,18,20593,22997,84,37,Female,East,premium
184,23,103884,25944,72,67,Female,West,budget
185,23,20515,3800,64,92,Female,South,premium
186,53,74694,16930,85,3,Female,East,premium
187,65,46801,37537,81,6,Non-binary,South,premium
188,56,57192,35348,61,42,Female,North,budget
189,29,52977,26922,7,77,Male,East,regular
190,60,57892,10194,7,79,Female,North,regular
191,60,23951,20193,32,35,Female,East,regular
192,42,70309,12927,46,94,Female,South,premium
193,25,22358,1219,83,24,Male,West,regular
194,61,100895,28458,32,45,Female,North,budget
195,35,95229,5830,3,70,Male,East,regular
196,40,122920,8167,96,3,Female,West,budget
197,21,111313,33286,1,12,Male,North,budget
198,56,60551,7831,51,64,Female,North,premium
199,65,45624,12188,80,83,Male,South,premium
200,45,57810,23588,2,98,Male,East,budget
201,61,50059,28583,22,94,Female,East,premium
202,45,60086,24999,41,29,Male,East,budget
203,23,88698,15566,43,45,Male,North,regular
204,20,45807,20137,59,100,Female,South,premium
205,21,59052,38133,42,51,Female,West,regular
206,52,146677,36743,6,65,Female,South,premium
207,37,127823,46215,12,24,Female,South,regular
208,57,109796,4185,57,65,Polygender,East,premium
209,43,133713,38172,84,56,Male,North,premium
210,64,75902,24014,80,67,Male,North,regular
211,40,51261,25036,40,80,Male,West,budget
212,52,113971,13415,57,4,Female,South,budget
213,30,93747,23434,21,63,Female,West,budget
214,29,127873,10980,13,42,Male,West,budget
215,26,131616,44099,82,83,Female,North,budget
216,46,31175,28435,26,72,Female,South,premium
217,68,125157,3049,32,8,Female,North,regular
218,47,140350,41956,5,49,Female,North,premium
219,58,126352,19603,35,71,Female,South,premium
220,34,39102,43721,20,52,Male,West,premium
221,36,68511,7947,87,72,Female,East,premium
222,58,90154,10448,53,14,Male,South,budget
223,45,60534,14641,56,41,Female,North,budget
224,26,55360,28540,16,67,Female,East,budget
225,41,144083,12284,90,20,Male,West,regular
226,35,62972,38473,3,13,Female,North,premium
227,20,42233,37083,59,66,Female,East,budget
228,33,110602,31728,13,58,Polygender,South,premium
229,64,102057,23587,93,73,Male,South,budget
230,47,143157,6402,12,65,Male,South,budget
231,66,147692,7004,34,22,Female,West,regular
232,49,26109,33860,54,35,Male,South,regular
233,51,125901,45429,98,91,Male,East,budget
234,70,80368,14709,70,8,Male,East,budget
235,34,131733,49531,72,95,Male,North,premium
236,20,118686,41991,16,90,Male,West,budget
237,65,133607,19980,21,44,Female,West,regular
238,70,76270,32136,34,98,Male,South,budget
239,54,106298,6057,88,83,Agender,North,premium
240,37,140124,27701,85,71,Male,East,regular
241,65,35035,6451,89,33,Male,East,budget
242,29,85650,37656,35,87,Male,North,regular
243,32,88386,30505,50,3,Female,East,regular
244,29,29181,31900,81,9,Female,North,premium
245,63,100266,28571,19,83,Female,East,premium
246,69,106367,37114,29,85,Female,East,premium
247,68,136043,32565,93,27,Male,North,budget
248,68,45422,2209,64,85,Female,East,regular
249,39,72080,704,99,39,Male,South,budget
250,36,65188,28664,25,87,Male,North,regular
251,64,107538,12695,46,78,Female,West,regular
252,36,32814,40982,23,82,Non-binary,South,premium
253,32,28335,21488,97,39,Male,East,regular
254,21,42951,14536,65,92,Female,North,premium
255,46,111719,42960,24,14,Male,North,premium
256,31,62135,8483,85,82,Male,East,budget
257,41,55775,32415,36,98,Female,East,premium
258,52,145373,34200,27,27,Male,South,budget
259,61,42272,33607,58,67,Male,North,premium
260,37,21972,26505,81,91,Male,North,budget
261,69,93713,26537,74,80,Agender,East,premium
